,x
10738,5.03E-07
10739,5.10E-07
10740,5.54E-07
10741,5.05E-07
10742,5.25E-07
10743,5.58E-07
10744,5.15E-07
10745,5.21E-07
10746,5.13E-07
10747,4.99E-07
10748,5.45E-07
10749,5.45E-07
10750,5.75E-07
10751,5.09E-07
10752,4.88E-07
10753,5.42E-07
10754,4.96E-07
10755,4.95E-07
10756,5.37E-07
10757,5.20E-07
10758,4.99E-07
10759,5.13E-07
10760,5.50E-07
10761,5.21E-07
10762,4.35E-07
10763,5.08E-07
10764,5.50E-07
10765,4.82E-07
10766,4.49E-07
10767,5.53E-07
10768,4.80E-07
10769,5.08E-07
10770,5.01E-07
10771,5.07E-07
10772,4.87E-07
10773,5.31E-07
10774,5.43E-07
10775,5.15E-07
10776,4.97E-07
10777,5.30E-07
10778,5.04E-07
10779,5.51E-07
10780,5.68E-07
10781,5.01E-07
10782,5.29E-07
10783,5.47E-07
10784,5.29E-07
10785,5.37E-07
10786,5.10E-07
10787,5.06E-07
10788,5.08E-07
10789,4.72E-07
10790,5.25E-07
10791,5.26E-07
10792,5.03E-07
10793,5.14E-07
10794,4.91E-07
10795,4.63E-07
10796,5.42E-07
10797,4.98E-07
10798,5.47E-07
10799,5.18E-07
10800,4.94E-07
10801,4.60E-07
10802,5.42E-07
10803,5.34E-07
10804,4.71E-07
10805,5.15E-07
10806,5.28E-07
10807,5.45E-07
10808,5.23E-07
10809,4.98E-07
10810,4.75E-07
10811,5.39E-07
10812,5.19E-07
10813,4.81E-07
10814,5.27E-07
10815,5.58E-07
10816,5.18E-07
10817,5.55E-07
10818,5.05E-07
10819,5.30E-07
10820,5.33E-07
10821,5.13E-07
10822,5.23E-07
10823,5.39E-07
10824,5.07E-07
10825,5.25E-07
10826,5.00E-07
10827,5.29E-07
10828,5.13E-07
10829,5.11E-07
10830,5.36E-07
10831,5.31E-07
10832,5.08E-07
10833,5.24E-07
10834,4.83E-07
10835,5.23E-07
10836,5.11E-07
10837,5.02E-07
10838,5.16E-07
10839,4.99E-07
10840,5.29E-07
10841,5.46E-07
10842,5.10E-07
10843,4.64E-07
10844,5.22E-07
10845,5.11E-07
10846,5.86E-07
10847,5.25E-07
10848,4.86E-07
10849,5.08E-07
10850,5.20E-07
10851,4.94E-07
10852,4.82E-07
10853,5.27E-07
10854,5.30E-07
10855,5.09E-07
10856,5.12E-07
10857,5.20E-07
10858,5.16E-07
10859,5.13E-07
10860,4.52E-07
10861,4.99E-07
10862,4.75E-07
10863,5.11E-07
10864,5.15E-07
10865,5.12E-07
10866,4.78E-07
10867,5.14E-07
10868,5.29E-07
10869,5.29E-07
10870,5.02E-07
10871,5.03E-07
10872,5.02E-07
10873,4.96E-07
10874,4.93E-07
10875,5.21E-07
10876,5.10E-07
10877,4.96E-07
10878,4.92E-07
10879,5.13E-07
10880,5.11E-07
10881,5.54E-07
10882,5.55E-07
10883,5.53E-07
10884,5.56E-07
10885,5.10E-07
10886,5.43E-07
10887,5.18E-07
10888,4.84E-07
10889,5.48E-07
10890,5.84E-07
10891,5.03E-07
10892,5.09E-07
10893,5.36E-07
10894,5.30E-07
10895,4.92E-07
10896,5.07E-07
10897,5.39E-07
10898,5.30E-07
10899,5.17E-07
10900,4.98E-07
10901,5.27E-07
10902,5.28E-07
10903,5.42E-07
10904,5.03E-07
10905,5.61E-07
10906,5.15E-07
10907,4.73E-07
10908,4.96E-07
10909,5.46E-07
10910,4.86E-07
10911,5.76E-07
10912,5.49E-07
10913,5.08E-07
10914,5.54E-07
10915,4.68E-07
10916,5.18E-07
10917,4.68E-07
10918,5.29E-07
10919,4.97E-07
10920,5.74E-07
10921,5.02E-07
10922,5.15E-07
10923,5.00E-07
10924,5.13E-07
10925,5.23E-07
10926,5.23E-07
10927,5.09E-07
10928,5.11E-07
10929,4.87E-07
10930,5.41E-07
10931,5.07E-07
10932,5.06E-07
10933,5.37E-07
10934,5.26E-07
10935,5.14E-07
10936,5.36E-07
10937,5.24E-07
10938,5.00E-07
10939,5.11E-07
10940,5.40E-07
10941,5.23E-07
10942,5.13E-07
10943,4.95E-07
10944,5.56E-07
10945,4.78E-07
10946,5.15E-07
10947,5.23E-07
10948,5.16E-07
10949,4.87E-07
10950,5.11E-07
10951,5.23E-07
10952,5.10E-07
10953,5.41E-07
10954,5.24E-07
10955,5.21E-07
10956,5.06E-07
10957,5.00E-07
10958,5.23E-07
10959,5.68E-07
10960,5.37E-07
10961,4.97E-07
10962,5.29E-07
10963,4.97E-07
10964,5.01E-07
10965,4.75E-07
10966,5.45E-07
10967,5.36E-07
10968,5.31E-07
10969,5.07E-07
10970,5.10E-07
10971,5.24E-07
10972,5.06E-07
10973,4.81E-07
10974,5.09E-07
10975,5.11E-07
10976,4.81E-07
10977,5.18E-07
10978,5.17E-07
10979,5.08E-07
10980,5.33E-07
10981,4.90E-07
10982,5.05E-07
10983,5.57E-07
10984,4.41E-07
10985,5.55E-07
10986,5.08E-07
10987,5.25E-07
10988,5.47E-07
10989,5.08E-07
10990,4.92E-07
10991,5.23E-07
10992,4.73E-07
10993,5.05E-07
10994,5.45E-07
10995,5.34E-07
10996,5.15E-07
10997,4.93E-07
10998,5.44E-07
